id;creation_date;room_name;room_description;private_room
1;2019-05-29T06:15:01;Producer;Implementation Electronics Officer;true
2;2019-05-28T23:26:33;Albania web-readiness;Namibia;false
3;2019-05-29T03:23:47;zero administration;Multi-channelled Licensed;true
4;2019-05-29T01:57:08;Cambridgeshire Mississippi;HDD;true
5;2019-05-29T02:39:06;Small Frozen Sausages Planner;envisioneer Music Public-key;false
6;2019-05-28T20:10:51;Rubber Buckinghamshire Games;incentivize Tuna copy;false
7;2019-05-28T18:15:46;Mayotte;Industrial;true
8;2019-05-28T12:08:29;Markets Chief;capacitor archive;true
9;2019-05-29T02:02:27;Tasty Plastic Pizza scale;South Georgia and the South Sandwich Islands;true
10;2019-05-28T22:10:56;mission-critical Faroe Islands Plastic;Car Industrial deliverables;false
